thread_radius_um,affected_volume_1e6_nl,affected_volume_1e7_nl,affected_volume_1e8_nl
10,0.1953975249713808,0.0908537026773536,0.034307252148419315
20,0.8362886140608151,0.3628211514028486,0.07171971744845981
50,5.33482558584271,1.1081922590524727,0.20742598903636442
80,11.230812054158598,1.8076088061464917,0.4819390775606926
100,12.284237116483222,2.523848673293887,0.6467924157386947
150,19.888486408382363,5.73056413576899,0.9746163174905726
200,32.4625541954605,9.580969741642129,0.6812010452821038
250,47.682154,11.810533,0.627047
400,119.44790775113934,16.937707299399907,0.25327424058495557
500,169.694288,6.260675,0.782589
750,223.48449090488623,1.94395077394081,0.2356544948569414
1000,155.295906,4.117629,0.313212
1250,25.25407540591507,2.197260411793135,0.1938939654081627
